13.78.232.226 # (Erstermittlung ueber DNS-Namen oca.telemetry.microsft.com )
13.92.194.212 # (Erstermittlung ueber DNS-Namen us.vortex-win.data.microsft.com)
111.221.29.177 # (Erstermittlung ueber DNS-Namen settings-sandbox.data.microsoft.com)
111.221.29.253 # (Erstermittlung ueber DNS-Namen onesettings-hk2.metron.live.com.nsatc.net)
111.221.29.254 # (Erstermittlung ueber DNS-Namen vortex-hk2.metron.live.com.nsatc.net)
128.63.2.53 # (Erstermittlung ueber DNS-Namen choice.microsoft.com)
131.253.14.153 # (Erstermittlung ueber DNS-Namen statsfe2.update.microsoft.com.akadns.net)
131.253.40.37 # (Erstermittlung ueber DNS-Namen telemetry.urs.microsoft.com)
134.170.115.60 # (Erstermittlung ueber DNS-Namen statsfe1.ws.microsoft.com)
134.170.185.70 # (Erstermittlung ueber DNS-Namen feedback.windows.com)
134.170.188.248 # (Erstermittlung ueber DNS-Namen feedback.windows.com)
134.170.52.151 # (Erstermittlung ueber DNS-Namen diagnostics.support.microsoft.com)
156.154.112.36 # (Erstermittlung ueber DNS-Namen choice.microsoft.com)
156.154.113.36 # (Erstermittlung ueber DNS-Namen choice.microsoft.com)
157.55.129.21 # (Erstermittlung ueber DNS-Namen feedback.search.microsoft.com
157.56.121.89 # (Erstermittlung ueber DNS-Namen diagnostics.support.microsoft.com)
157.56.149.250 # (Erstermittlung ueber DNS-Namen telemetry.urs.microsoft.com)
157.56.57.5 # (Erstermittlung ueber DNS-Namen diagnostics.support.microsoft.com)
157.56.74.250 # (Erstermittlung ueber DNS-Namen telemetry.urs.microsoft.com)
157.56.91.77 # (Erstermittlung ueber DNS-Namen choice.microsoft.com)
168.61.24.141 # (Erstermittlung ueber DNS-Namen telemetry.appex.bing.net)
168.62.187.13 # (Erstermittlung ueber DNS-Namen telemetry.appex.bing.net)
168.63.108.233 # (Erstermittlung ueber DNS-Namen telemetry.appex.bing.net)
191.232.139.253 # (Erstermittlung ueber DNS-Namen onesettings-db5.metron.live.com.nsatc.net)
191.232.139.254 # (Erstermittlung ueber DNS-Namen vortex-db5.metron.live.com.nsatc.net)
192.58.128.30 # (Erstermittlung ueber DNS-Namen statsfe1.ws.microsoft.com)
193.58.251.1 # (Erstermittlung ueber DNS-Namen choice.microsoft.com)
195.46.39.1 # (Erstermittlung ueber DNS-Namen choice.microsoft.com)
198.105.244.74 # (Erstermittlung ueber DNS-Namen wes.df.telemetry.microsoft.com)net
198.105.254.74 # (Erstermittlung ueber DNS-Namen wes.df.telemetry.microsoft.com)net
207.46.114.61 # (Erstermittlung ueber DNS-Namen statsfe1.ws.microsoft.com)
207.46.223.94 # (Erstermittlung ueber DNS-Namen watson.live.com)
207.68.166.254 # (Erstermittlung ueber DNS-Namen survey.watson.microsoft.com))
218.28.144.37 # (Erstermittlung ueber DNS-Namen choice.microsoft.com.nstac.net)
62.157.140.133 # (Erstermittlung ueber DNS-Namen telecommand.telemetry.microsoft.com.nsat­c.net)
64.4.54.22 # (Erstermittlung ueber DNS-Namen statsfe2.update.microsoft.com.akadns.net)
64.4.54.253 # (Erstermittlung ueber DNS-Namen onesettings-cy2.metron.live.com.nsatc.net)
64.4.54.254 # (Erstermittlung ueber DNS-Namen v10.vortex-win.data.microsoft.com)
64.4.54.32 # (Erstermittlung ueber DNS-Namen vortex-sandbox.data.microsoft.com)
64.4.6.100 # (Erstermittlung ueber DNS-Namen feedback.microsoft-hohm.com)
40.77.226.249 # (Erstermittlung ueber DNS-Namen geo.settings-win.data.microsoft.com.akadns.net)
40.77.226.250 # (Erstermittlung ueber DNS-Namen geo.settings-win.data.microsoft.com.akadns.net)
52.178.38.151 # (Erstermittlung ueber DNS-Namen eu.vortex-win.data.microsft.com )
52.183.114.173 # (Erstermittlung ueber DNS-Namen alpha.telemetry.microsft.com)
52.229.39.152 # (Erstermittlung ueber DNS-Namen vortex-win-sandbox.data.microsoft.com)
65.52.100.11 # (Erstermittlung ueber DNS-Namen watson.ppe.telemetry.microsoft.com)
65.52.100.7 # (Erstermittlung ueber DNS-Namen df.telemetry.microsoft.com)
65.52.100.9 # (Erstermittlung ueber DNS-Namen telemetry.microsoft.com)
65.52.100.91 # (Erstermittlung ueber DNS-Namen reports.wes.df.telemetry.microsoft.com) 
65.52.100.92 # (Erstermittlung ueber DNS-Namen services.wes.df.telemetry.microsoft.com)
65.52.100.94 # (Erstermittlung ueber DNS-Namen sqm.df.telemetry.microsoft.com)
65.52.108.153 # (Erstermittlung ueber DNS-Namen statsfe2.ws.microsoft.com)
65.52.108.154 # (Erstermittlung ueber DNS-Namen watson.microsoft.com)
65.52.108.29 # (Erstermittlung ueber DNS-Namen watson.telemetry.microsoft.com)
65.52.161.64 # (Erstermittlung ueber DNS-Namen telemetry.appex.bing.net)
65.55.130.50 # (Erstermittlung ueber DNS-Namen choice.microsoft.com)
65.55.138.110 # (Erstermittlung ueber DNS-Namen statsfe2.ws.microsoft.com)
65.55.176.90 # (Erstermittlung ueber DNS-Namen telemetry.urs.microsoft.com)
65.55.252.43 # (Erstermittlung ueber DNS-Namen watson.telemetry.microsoft.com)
65.55.252.63 # (Erstermittlung ueber DNS-Namen oca.telemetry.microsoft.com)
65.55.252.71 # (Erstermittlung ueber DNS-Namen watson.microsoft.com)
65.55.252.92 # (Erstermittlung ueber DNS-Namen telecommand.telemetry.microsoft.com)
65.55.252.93 # (Erstermittlung ueber DNS-Namen sqm.telemetry.microsoft.com)
65.55.39.10 # (Erstermittlung ueber DNS-Namen feedback.microsoft-hohm.com)
65.55.44.108 # (Erstermittlung ueber DNS-Namen onesettings-bn2.metron.live.com.nsatc.net)
65.55.44.109 # (Erstermittlung ueber DNS-Namen vortex-bn2.metron.live.com.nsatc.net)
65.55.83.120 # (Erstermittlung ueber DNS-Namen telemetry.urs.microsoft.com)
66.119.147.131 # (Erstermittlung ueber DNS-Namen diagnostics.support.microsoft.com)
80.156.86.78 # (Erstermittlung ueber DNS-Namen telecommand.telemetry.microsoft.com.nsat­c.net)
81.200.64.50 # (Erstermittlung ueber DNS-Namen telecommand.telemetry.microsoft.com.nsat­c.net)
92.242.140.20 # (Erstermittlung ueber DNS-Namen choice.microsoft.com)
